,temp,phi_0,r_gb,delta_E_act,phi_0_MS,space_charge_width,MS_space_charge_width,GB,Gd%
0,673.15,0.3420743759599462,1762.6589640926593,0.7498802150859017,0.3051519431562691,3.4465181820511823,3.2552052117893053,111,20
1,773.15,0.3345779297340181,332.04083594539543,0.7452518800312348,0.2883772991250416,3.4085443334267076,3.1644689396113153,111,20
2,873.15,0.32740843355076066,92.63789312535295,0.735545054517724,0.27069401371771673,3.371826606420052,3.065911596369186,111,20
3,973.15,0.32054288997553065,34.18657435770061,0.7168769933837956,0.2524206372601444,3.336286793548442,2.9606204298865353,111,20
4,1073.15,0.3139612389691209,15.596474543163502,0.6854962700981694,0.23405631901605464,3.3018574478391503,2.850890177020524,111,20
5,1173.15,0.30764592763960164,8.423838442376985,0.639732706841118,0.2162206201864085,3.2684804195590402,2.740115419546133,111,20
6,1273.15,0.30158153400255866,5.221130752412525,0.581381068825226,0.19951197683965186,3.2361055273277657,2.6321145636921868,111,20
7,1373.15,0.2957544003253661,3.6191874972109366,0.5153739768894182,0.1843517520563759,3.2046891480717092,2.5301364134603648,111,20
8,1473.15,0.2901523185330759,2.7422898665214253,0.44787149374453294,0.17089229684810803,3.1741929658655805,2.436023904678385,111,20
9,1573.15,0.28476425195289723,2.225909697525363,0.38412837542809103,0.1590189313263046,3.1445828154686044,2.349874765330824,111,20
10,1673.15,0.2795801005477996,1.9029990451943741,0.3273714624151605,0.148405979649654,3.1158276765066524,2.270105298397734,111,20
11,1773.15,0.27459053182928433,1.6906973788538462,0.27882416291806406,0.13855775803477755,3.087898961130645,2.1934903394820924,111,20
