core_model,site_model,MS_GC,site_charge,temperature,mole_fraction,space_charge_potential,parallel_resistivity_ratio,perpendicular_resistivity_ratio,MS_space_charge_potential,activation_energy
773,[0.05 0.2 ],0.33517022647257794,0.009633351811972793,221568.907891765,0.524870661512625,0.7502303586887324,False,site_explicit,mott-schottky,False
873,[0.05 0.2 ],0.32801034964658654,0.009662607695706598,61133.07570501604,0.540890287355384,0.7462740820193213,False,site_explicit,mott-schottky,False
973,[0.05 0.2 ],0.3211545779017486,0.00968779336400438,22115.626698926062,0.556897814968529,0.7411208081891623,False,site_explicit,mott-schottky,False
1000,[0.05 0.2 ],0.31935298677567336,0.009694115135275431,17424.359632053365,0.561233609511401,0.7289810585034803,False,site_explicit,mott-schottky,False
1173,[0.05 0.2 ],0.30827735891258545,0.00837419309644169,5550.736085054149,0.595437038124449,0.6995658669105258,False,site_explicit,mott-schottky,False
1273,[0.05 0.2 ],0.30222280419390135,0.008377561687908998,3187.5902954859143,0.612871542996122,0.7046161590837678,False,site_explicit,mott-schottky,False
